city,lat,lng
Lue Amnat,15.6948,104.6485
Ratchasan,13.7821,101.2813
Khon Sawan,15.931,102.2788
Erawan,17.3018,101.9538
Thoeng,19.6851,100.1946
Na Yia,15.0637,105.0599
Kanthararom,15.1032,104.5734
Bueng Samakkhi,16.1873,99.9753
Phaya Mengrai,19.8492,100.1536
Tamot,7.3392,100.1117
Phibun Rak,17.5531,103.0579
Khaen Dong,15.3248,103.1334
Wachira Barami,16.5231,100.1446
Thap Put,8.5157,98.6413
Pha Khao,17.0651,102.0297
Phen,17.6961,102.9069
Siao,14.7958,104.6702
Khlong Hoi Khong,6.8986,100.3889
Nam Khun,14.5839,104.9248
Ban Phaeng,17.9651,104.2153
Pak Khat,18.3056,103.3044
Tham Phannara,8.4204,99.3952
Chaiwan,17.2945,103.2339
Phatthana Nikhom,14.8565,100.9846
Pa Tio,15.8328,104.3867
Kut Rang,16.094,103.01
Phu Sang,19.599,100.3244
Nong Yai,13.1551,101.3723
Bang Sai,14.2124,100.4966
Nong Phok,16.3101,104.2025
Na Thawi,6.7419,100.6914
Thai Charoen,16.0664,104.4402
Phon Sai,15.488,103.9964
Non Kho,14.9167,104.7252
Wiang Chiang Rung,20.0133,100.0564
Mae Tha,18.4646,99.1403
Ban Khwao,15.7777,101.9072
Bo Thong,13.2782,101.4403
Sang Khom,17.8265,103.0926
Nikhom Nam Un,17.1831,103.7184
Khiri Mat,16.8333,99.8
Hua Taphan,15.6971,104.4916
Bang Saphan,11.2145,99.5114
Seka,17.9285,103.9552
Loeng Nok Tha,16.2075,104.5553
Nong Sung,16.483,104.3471
Hankha,14.9812,100.0147
Pa Bon,7.2694,100.1704
Kham Muang,16.929,103.6352
Phana,15.6823,104.846
Ban Hong,18.3309,98.8192
Tha Khantho,16.9395,103.2459
Phu Kam Yao,19.2705,99.9701
Khao Saming,12.3535,102.4355
Phon Na Kaeo,17.2212,104.2899
Phanom Dong Rak,14.4458,103.3051
Don Chan,16.4571,103.6956
Sawi,10.2367,99.1094
Dong Charoen,16.0206,100.6629
Na Chaluai,14.5205,105.2448
Bueng Na Rang,16.1712,100.1253
Chiang Khong,20.2612,100.4046
Noen Sa-nga,15.5643,102.0013
Kham Ta Kla,17.8523,103.7566
Thung Tako,10.1102,99.0831
Wang Thong,16.8246,100.4294
Non Suwan,14.5804,102.5969
Phrasaeng,8.5678,99.2476
Kap Choeng,14.4749,103.5944
Thung Wa,7.1096,99.7559
Pak Tho,13.3726,99.8394
Chumphon Buri,15.3486,103.3922
Wang Pong,16.3415,100.7932
Senangkhanikhom,16.0397,104.6694
Khlong Hat,13.4518,102.2982
Prachantakham,14.0644,101.515
Khamcha-i,16.5776,104.4196
Si Thep,15.4521,101.0667
Muak Lek,14.6529,101.2002
Khao Chamao,12.9759,101.6851
Khun Han,14.6174,104.4251
Saba Yoi,6.6175,100.9519
Hang Chat,18.3288,99.3462
Lahan Sai,14.4114,102.8594
Si Songkhram,17.6274,104.2507
Chun,19.3369,100.1348
Sanam Chai Khet,13.6586,101.4391
Wat Sing,15.2599,100.0404
Pho Sai,15.8259,105.2606
Sawang Arom,15.5839,99.8609
Chai Badan,15.2061,101.1368
Si That,16.9736,103.2164
Huai Phueng,16.6504,103.91
Huai Krachao,14.3275,99.6677
Tak Fa,15.3492,100.4952
Phu Phiang,18.738,100.8003
Wang Wiset,7.7363,99.3987
Tha Tako,15.6422,100.4784
Ban Muang,17.8508,103.5694
Pla Pak,17.1806,104.5261
Doi Luang,20.1178,100.0992
Bung Khla,18.3023,103.9742
Plai Phraya,8.5328,98.8637
Sirindhorn,15.2008,105.3922
Phran Kratai,16.6651,99.5889
Makham,12.6729,102.1958
Ta Phraya,14.0031,102.8054
Si Mueang Mai,15.4931,105.2762
Bo Rai,12.5728,102.5371
Watthana Nakhon,13.7446,102.3186
Bang Khan,8.0269,99.4737
Sikao,7.5716,99.3449
Wiang Kaen,20.113,100.5133
Nam Yuen,14.4894,105.0009
Phon Sawan,17.4563,104.4688
Palian,7.1724,99.6862
Nong Hin,17.1236,101.8579
Samran,16.8632,103.5411
Mae Taeng,19.1171,98.9418
Lam Thap,8.0723,99.2922
Wang Chao,16.6744,99.269
Si Banphot,7.7214,99.8843
Khlong Thom,7.9375,99.1446
Thepharak,15.3087,101.5505
Pathum Ratchawongsa,15.8948,104.9264
Lam Sonthi,15.3015,101.3637
Buntharik,14.7564,105.4115
Dan Makham Tia,13.8534,99.4104
Pak Phli,14.1631,101.2689
Chai Buri,8.4622,99.0763
Wang Sam Mo,16.9529,103.4365
Khuan Kalong,6.8454,100.0715
Nong Prue,14.6078,99.4578
Khok Charoen,15.3793,100.8187
Wang Yang,17.0575,104.4533
Thep Sathit,15.3925,101.4506
Soi Dao,13.1289,102.214
Chiang Khan,17.8938,101.66
Chaloem Phra Kiat,19.5788,101.0801
Tao Ngoi,16.9969,104.1667
Ban Tak,17.0433,99.0813
Phop Phra,16.3846,98.6903
Na Di,14.1152,101.7819
Khok Sung,13.8382,102.6225
Manang,6.9993,99.9216
Si Sakhon,6.2314,101.5005
Noen Kham,14.9501,99.939
Mae Wang,18.616,98.7729
Wiang Pa Pao,19.3478,99.5072
Mae Suai,19.6563,99.5437
Sop Prap,17.8805,99.337
Phu Sing,14.5474,104.1317
Lao Khwan,14.5952,99.7743
Chum Ta Bong,15.6319,99.5523
Dan Chang,14.8418,99.6976
Phrao,19.3659,99.2019
Nong Mamong,15.2761,99.8664
Khao Phanom,8.2655,99.0512
Bang Saphan Noi,11.0754,99.4415
Ban Dan Lan Hoi,17.0068,99.575
Suk Samran,9.3446,98.429
Wang Chin,17.8935,99.6032
Phu Phan,16.9989,103.9735
Wat Bot,16.9811,100.3319
Na Thom,17.7849,104.0908
Mae Wong,15.7816,99.5186
Mae Tha,18.1341,99.5139
Sam Roi Yot,12.2708,99.872
Chanae,6.0991,101.6935
Long,18.0742,99.8307
Khlong Lan,16.2033,99.32
Pang Sila Thong,16.0963,99.4891
Huai Khot,15.2909,99.6166
Chanuman,16.2336,105.0005
Thung Hua Chang,18.003,99.0278
Soem Ngam,18.0651,99.2454
Sukhirin,5.9389,101.7708
Na Yung,17.8975,102.1498
Dong Luang,16.8159,104.538
Mae Poen,15.6579,99.4698
Phu Luang,17.1392,101.6639
Hot,18.1932,98.6104
Non Din Daeng,14.3135,102.7481
Ka Bang,6.4154,101.0546
Phakdi Chumphon,15.9052,101.4223
Thong Saen Khan,17.4706,100.3315
Song,18.472,100.1835
Nong Bua Daeng,16.0798,101.8022
Wang Nam Khiao,14.418,101.8611
Santi Suk,18.9137,100.9417
Nopphitam,8.7221,99.7488
Wiang Haeng,19.557,98.6425
Khao Kho,16.6579,101.0221
Suan Phueng,13.5429,99.3396
Nong Bua Rawe,15.7531,101.764
Li,17.8027,98.951
Chae Hom,18.7127,99.5576
Tha Song Yang,17.2271,98.2257
Nong Saeng,17.1674,102.7808
Doi Tao,17.9529,98.6846
Sap Yai,15.6374,101.6167
Khao Khitchakut,12.8048,102.1151
Tha Li,17.6236,101.421
Khura Buri,9.1835,98.4133
Mueang Pan,18.768,99.5025
Wiphawadi,9.2389,98.9786
Mae Mo,18.2756,99.6504
Chaloem Phra Kiat,15.0051,102.2703
Tha Takiap,13.4455,101.6113
Kaeng Hang Maeo,13.0083,101.9061
Dan Sai,17.2801,101.1469
Tha Pla,17.7911,100.3761
Than To,6.1674,101.1801
Samoeng,18.8481,98.7324
Chat Trakan,17.2761,100.6002
Phato,9.7909,98.7766
Kapong,8.697,98.4091
Sop Moei,17.9621,97.9329
Ban Luang,18.8497,100.4372
Mae Phrik,17.4469,99.1142
Chiang Muan,18.8897,100.3059
Chaem Luang,19.0319,98.2877
Mae Chaem,18.4993,98.3649
Ban Kha,13.4305,99.4097
Mae La Noi,18.3975,97.9127
Nam Pat,17.7281,100.6843
Phu Ruea,17.4538,101.3623
Om Koi,17.8012,98.3593
Fak Tha,17.9995,100.8801
Ko Kut,11.6586,102.542
Song Khwae,19.3596,100.7004
Na Muen,18.1893,100.6605
Mae Sariang,18.1617,97.9354
Bo Kluea,19.1503,101.1556
Nam Nao,16.7675,101.6692
Ban Rai,15.0842,99.5211
Sop Pong,19.5188,98.2604
Mae Charim,18.7061,101.0057
Sam Ngao,17.2433,99.0226
Ban Khok,18.0261,101.0677
Na Haeo,17.4854,101.0681
Thong Pha Phum,14.7434,98.631
Nong Ya Plong,13.1629,99.6972
Khun Yuam,18.8296,97.9335
Ban Takhun,8.9036,98.8845
Sangkhla Buri,15.1555,98.4536
Kaeng Krachan,12.9074,99.6479
Wiang Nuea,19.3797,98.4464
Mae Hi,19.3429,98.4502
Si Sawat,14.5992,99.1141
Umphang,16.0162,98.8627
Wiang Kao,16.6825,102.2851
