city,lat,lng
Phra Samut Chedi,13.5934,100.5801
Ban Tat,17.2791,102.8022
Song Phi Nong,14.2306,100.0389
Huai Yot,7.7892,99.6329
Nong Khae,14.3406,100.8673
Kaeng Khoi,14.5864,100.9967
Chaiyo,14.6666,100.4702
Ban Tom Klang,19.1961,99.8378
Lamphun,18.5865,99.0121
Chok Chai,14.7284,102.1652
Rong Kwang,18.3392,100.3172
Chai Nat,15.1872,100.1283
Ban Laem,13.2168,99.9767
Kantang,7.4067,99.515
Lom Sak,16.7775,101.2468
Ban Bang Sai,13.3847,100.9856
Na Wa,17.4897,104.1006
Ban Bo Luang,18.1476,98.3489
Ban Muang Ngam,7.3536,100.4898
Wang Saphung,17.2995,101.7624
Nong Bua,15.8647,100.5858
Don Sak,9.3169,99.6944
Kuchinarai,16.5318,104.044
Ban Phan Don,17.129,102.9618
Phon,15.816,102.5998
Ban Wiang Phan,20.4034,99.8856
Den Chai,17.9835,100.0519
Satuek,15.3008,103.3013
Ban Bang Lamung,13.047,100.9289
Salaya,13.8023,100.3208
Lang Suan,9.9519,99.0813
Tha Chang,9.2674,99.1922
Kaset Wisai,15.6556,103.5836
Bang Ban,14.3739,100.4853
Si Wilai,18.1865,103.7408
Khlung,12.4547,102.2214
Phanat Nikhom,13.4458,101.1844
Fao Rai,18.0175,103.3057
Phrai Bueng,14.749,104.3574
Phibun Mangsahan,15.2482,105.2296
Pua,19.1799,100.9089
Ban Bang Toei,14.0656,100.5226
Ban Bang Yai,13.8369,100.3591
Wang Sombun,13.3515,102.1833
Kranuan,16.7081,103.0811
Sam Ko,14.6013,100.2602
Ban Lueak,13.7065,99.8902
Ban Ko,13.6486,100.0063
Mae Ai,20.0296,99.2847
Ban Thung Khao Phuang,19.5342,98.9621
Phai Sali,15.6,100.6494
Trat,12.2417,102.5125
Phangnga,8.4644,98.5317
Prakhon Chai,14.6058,103.1208
Phon Charoen,18.025,103.706
Kut Chap,17.4262,102.5646
Tha Muang,13.9611,99.6411
Ban Bong Tai,17.4057,103.2992
Phra Pradaeng,13.659,100.5329
Tha Mai,12.6196,102.0112
Ban Klang,18.5791,99.0686
Nong Ki,14.6867,102.5325
Ban Bu Sung,14.9602,104.1657
Sung Noen,14.8992,101.8208
Kamalasai,16.3383,103.5756
Phak Hai,14.4626,100.3667
Wiang Sa,8.6358,99.3667
Ban Ratchakrut,9.7571,98.5915
Non Sung,15.1788,102.2514
Nong Wua So,17.1625,102.5728
Bueng Khong Long,17.9684,104.0484
Chom Thong,18.418,98.6758
Chiang Klang,19.2939,100.8617
Thap Khlo,16.16,100.5967
Mae Rim,18.9163,98.9605
Photharam,13.6918,99.8531
Ban Bo Phlap,13.8439,100.0686
Kanchanadit,9.1653,99.4706
Ban Krot,14.3121,100.6005
Ban Bang Phlap,13.9241,100.4684
Bang Khla,13.7268,101.2105
Nakhon Thai,17.1011,100.8296
Nong Kung Si,16.65,103.3
Pong Nam Ron,12.9058,102.2622
Ban Kham Pom,15.9653,105.2112
Suwannaphum,15.6078,103.8
Ban Tha Phra,16.3298,102.7998
Akat Amnuai,17.5898,103.9859
Kaeng Khro,16.1083,102.2576
Tha Luang,15.0697,101.1182
Kosum Phisai,16.243,103.0627
Thung Sai,16.2955,99.8089
Thap Than,15.457,99.8961
Kui Buri,12.0702,99.8667
Takua Pa,8.8658,98.3413
Bang Mun Nak,16.0278,100.3792
Nam Som,17.7703,102.1894
Phimai,15.2167,102.5
Kumphawapi,17.1151,103.0186
Yang Talat,16.3997,103.3678
Pa Sang,18.5177,98.9394
Sawang Daen Din,17.475,103.4569
Ban Na,12.827,101.6692
Ban Buak Khang,18.7057,99.1068
Non Sang,16.8699,102.564
Bang Len,14.0219,100.1719
Chumsaeng,15.898,100.311
Ban Tham,19.0727,100.0698
Ban Pa Lu Ru,6.0874,101.8728
Phayakkhaphum Phisai,15.5183,103.1921
Khanu Woralaksaburi,16.074,99.8574
U Thong,14.3761,99.8922
Nakhon Chai Si,13.8005,100.1869
Chonnabot,16.084,102.6193
Sawang Wirawong,15.2417,105.0922
Tha Maka,13.9203,99.7667
Ron Phibun,8.1722,99.8533
Ban Huai Mai,18.4217,100.1403
Ban Banlang,15.2255,101.9112
Damnoen Saduak,13.5183,99.9547
Chaiya,9.3778,99.2728
Nong Phai,15.9972,101.0652
Ban Pao,16.377,101.9751
Khon Buri,14.5686,102.1564
Thung Saliam,17.324,99.5671
Soeng Sang,14.4242,102.4584
Ban Phue,17.6874,102.4756
Phu Kradueng,16.8842,101.8847
Sa Bot,15.2084,100.834
Ban Duea,17.9814,102.9912
Uthumphon Phisai,15.097,104.1643
Bang Pa-in,14.22,100.5813
Thung Fon,17.4722,103.2626
Hang Dong,18.6886,98.9193
Ra-ngae,6.2942,101.7238
Bamnet Narong,15.5034,101.681
Si Chiang Mai,17.9564,102.5867
Bo Phloi,14.3253,99.5147
Nakhon Luang,14.4701,100.6135
Ban Bua Ngam,14.8108,105.2312
Ban Chan,17.3595,102.817
Ko Pha-Ngan,9.7176,99.9949
Sichon,9.0072,99.9018
Chiang Kham,19.5223,100.3034
Tha Ruea,14.5596,100.7226
Ban Karaket,8.0887,100.1398
Ban Kamphuan,9.3782,98.4209
Ban Wang Kalang,15.1436,98.4498
Charoen Sin,17.5837,103.5422
Na Duang,17.4743,101.98
Ban Haet,16.2,102.7492
Ban Phon Yai,17.1821,104.3316
Phanom Sarakham,13.7437,101.3523
Mae Hong Son,19.3011,97.97
Bua Chet,14.5326,103.9301
That Phanom,16.9364,104.7103
Lat Yao,15.7543,99.7808
Ban Tai,17.4333,103.4051
Nikhom Kham Soi,16.3749,104.5551
Khok Samrong,15.0691,100.7234
Phu Khiao,16.3682,102.1344
Dan Khun Thot,15.2099,101.7667
Pa Daet,19.505,99.9925
Ban Bang Pakong,13.5051,100.9567
Uthai,14.368,100.6713
Yaring,6.868,101.3587
Nong Chik,6.8436,101.1781
Prathai,15.5341,102.7175
Phan Thong,13.4681,101.0953
Wiset Chaichan,14.589,100.3482
Phanna Nikhom,17.3456,103.8478
Si Prachan,14.6204,100.1444
Ban Hua Saphan,13.1248,99.8716
Rong Kham,16.271,103.7474
Nong Song Hong,15.7359,102.7909
Ban Dong Mafai,17.275,103.994
Lom Kao,16.8847,101.2336
Ban Chiang,17.3999,103.2259
Wanon Niwat,17.6358,103.7549
Pueai Noi,15.8707,102.9064
Pluak Daeng,12.9728,101.2143
Ao Luek,8.378,98.7211
Kao Liao,15.8506,100.0792
Moeiwadi,16.3894,104.1572
Ban Talat Ko Ta Ba Ru,6.4585,101.3543
Huai Mek,16.6001,103.2264
Borabue,16.037,103.1231
Ban Chet Samian,13.6264,99.8293
Phayuha Khiri,15.4557,100.1351
Pong,19.1494,100.2753
Non Sila,15.9617,102.6911
Phachi,14.4453,100.7367
Nong Muang,15.2348,100.6524
Ban Bang Tabun,13.2638,99.9439
Kae Dam,16.0233,103.3862
Ban Krang,14.63,100.1307
Kham Sakae Saeng,15.3322,102.1728
Phanom Thuan,14.1315,99.7029
Sam Sung,16.5415,103.0796
Bang Sai,14.3347,100.3037
Tha Wang Pha,19.0945,100.8097
Amphawa,13.4248,99.9559
Ban Chiang Klom,17.8005,101.9448
Waeng Yai,15.9624,102.5419
Kut Bak,17.0857,103.8204
Ban San,18.0951,98.6615
Mae Chai,19.3453,99.8138
Nong Na Kham,16.802,102.3404
Sanom,15.1988,103.7567
Phanom,8.8584,98.8122
Ban Nam Phong,16.7321,102.8033
Ban Bang Pramung,15.7133,100.1353
In Buri,15.0054,100.3264
Thung Yai,8.3132,99.3631
Wapi Pathum,15.8456,103.3815
Song Dao,17.3376,103.4691
Khu Khan,14.7185,104.1945
Renu Nakhon,17.053,104.6785
Tha Uthen,17.5797,104.5945
Khlong Yai,11.7763,102.8858
Chom Bueng,13.6252,99.5831
Ban Laem Son,12.7098,101.7099
Wan Yai,16.7202,104.7505
Phrom Khiri,8.4905,99.8404
Ko Si Chang,13.1638,100.8079
Si Rattana,14.7985,104.4649
Ban Dan,13.7156,102.4614
Ranot,7.7762,100.3179
Non Sa-at,16.9693,102.8964
Don Phut,14.5889,100.6303
Ban Wang Thong,16.8229,100.4255
San Pa Tong,18.6283,98.8958
Non Daeng,15.4143,102.5505
Ban Chiao Lan,8.9676,98.8379
Ban Dan,17.0352,99.8871
Bueng Kan,18.3669,103.6552
Hua Sai,8.0442,100.3059
Nuea Khlong,8.0714,98.9994
Ngao,18.7534,99.9827
Pho Thong,14.6672,100.4089
Bang Rakam,16.7534,100.1159
Khon San,16.6156,101.926
Ban Lat Bua Khao,14.8517,101.6565
Ban Mai Chaiyaphot,15.5815,102.8311
Lan Krabue,16.5922,99.8578
Ban Wai Niao,13.913,99.7558
Khanom,9.2083,99.8644
Chatturat,15.5724,101.852
Kham Thale So,14.9573,101.9503
Kusuman,17.3291,104.3445
Ban Bang Kao,12.8684,100.0045
Ban Khok,16.0806,102.4009
Khuean Ubonrat,16.7586,102.6315
Wang Nuea,19.1455,99.6215
Ban Lao,19.9922,100.0348
Sena,14.3273,100.4049
Mae Ramat,16.9843,98.5172
Ban Bang Sawan,8.6172,98.9701
Ban Kruat,14.4158,103.1024
Chiang Dao,19.3613,98.9626
Ban Han,7.074,100.4507
Cha-uat,7.9653,99.9989
Na Chueak,15.7892,103.0299
Sangkha,14.6368,103.8531
Ban Chat Pa Wai,13.5467,99.4401
Ban Mueang Ngai,19.4448,98.9662
Ban Lan Hoi,17.0087,99.582
Sida,15.5413,102.5658
Sai Yok,14.2197,99.0757
Mancha Khiri,16.127,102.544
Mae Chan,20.1397,99.857
Kra Buri,10.402,98.7728
Ban Lat,13.0496,99.9188
Si Chomphu,16.8012,102.1868
Si Maha Phot,13.9614,101.5118
Ban Mi,15.0461,100.5358
Phu Pha Man,16.6453,101.898
Lan Sak,15.4548,99.5634
Thung Chang,19.3883,100.8781
Noen Maprang,16.5683,100.6356
Chon Daen,16.1894,100.8597
Pak Chom,18.0188,101.8818
Non Thai,15.1958,102.0714
Ban Khai,12.7813,101.2926
Thai Mueang,8.3944,98.2599
Sangkhom,18.0639,102.2736
Muang Sam Sip,15.512,104.7251
Maha Rat,14.5337,100.5293
Phrom Buri,14.849,100.4442
Si Nakhon,17.355,99.9921
Huai Thap Than,15.0512,104.0356
Sao Hai,14.5501,100.8444
Tan Sum,15.3154,105.1606
Ban Wong Khong,17.1027,100.1632
Ban Tai,9.7021,100.032
Wiang Sa,18.5707,100.7512
Waeng Noi,15.8025,102.4229
Tha Chana,9.5706,99.166
Phu Wiang,16.6517,102.3751
Ko Chang,12.0097,102.3671
Tha Sala,8.6691,99.924
Lamae,9.7813,99.1121
Ban Phaeo,13.5868,100.1037
Kaset Sombun,16.2779,101.954
Nong Suea,14.131,100.8129
Prang Ku,14.8537,104.0354
Warichaphum,17.2913,103.6469
Krasae Sin,7.5852,100.3198
Ban Nang Sata,6.266,101.2662
Phipun,8.5601,99.6068
Na Bon,8.2605,99.5964
Phon Phisai,18.0228,103.0826
Waeng,16.3,103.9778
Khong Chiam,15.3194,105.4906
Don Tan,16.3187,104.9182
La-Un,10.1128,98.7545
Chawang,8.4256,99.5045
Lat Bua Luang,14.1668,100.3134
Na Noi,18.3258,100.7122
Yaha,6.4837,101.1334
Sai Noi,13.9782,100.3135
Nong Don,14.6808,100.7082
Bang Nam Priao,13.8475,101.0531
Pai,19.3589,98.4367
Tha Wung,14.8113,100.5117
Tha Sae,10.6716,99.1812
Ban Phraek,14.646,100.5755
Khiri Ratthanikhom,9.0326,98.9639
Chian Yai,8.1707,100.1478
Lan Saka,8.3677,99.8
Khian Sa,8.8463,99.1971
Kapoe,9.5829,98.5941
Wat Phleng,13.4522,99.8852
Bang Krathum,16.5813,100.2959
Pathio,10.7043,99.3205
Ko Lanta,7.5303,99.0942
Ko Yao,8.1187,98.5905
Nong Kha Yang,15.3615,99.9379
Kanchanaburi,14.0194,99.5311
Bangkok Yai,13.7232,100.476
Thon Buri,13.725,100.4851
Sathon,13.7085,100.5262
Din Daeng,13.7699,100.553
Bang Phlat,13.7942,100.5045
Pom Prap Sattru Phai,13.7582,100.5132
Bang Kho Laem,13.6935,100.5022
Ratchathewi,13.759,100.5336
Samphanthawong,13.7315,100.5141
Khlong San,13.7309,100.509
Phaya Thai,13.78,100.5427
Yan Nawa,13.6963,100.5421
Watthana,13.7298,100.5854
Bangkok Noi,13.7627,100.478
Khlong Toei,13.7167,100.5716
Wang Thonglang,13.7855,100.6116
Bang Rak,13.7306,100.5239
Bang Kapi,13.7653,100.647
Bang Sue,13.81,100.5371
Phra Nakhon,13.7651,100.4986
Pathum Wan,13.7365,100.5239
Phra Khanong,13.7019,100.6016
Huai Khwang,13.7768,100.579
Chatuchak,13.8289,100.5599
Dusit,13.7775,100.5198
Phasi Charoen,13.7147,100.4369
Rat Burana,13.6822,100.506
Chom Thong,13.6772,100.4841
Lak Si,13.8872,100.5792
Lat Phrao,13.8035,100.6075
Bang Na,13.6674,100.6421
Taling Chan,13.777,100.4567
Don Mueang,13.9139,100.5899
Bang Khen,13.8738,100.5968
Bang Khae,13.692,100.4069
Nong Khaem,13.7053,100.3492
Bueng Kum,13.7853,100.6696
Thung Khru,13.6287,100.5096
Khan Na Yao,13.8261,100.6793
Saphan Sung,13.7702,100.6853
Suan Luang,13.7303,100.6514
Bang Bon,13.6619,100.3957
Prawet,13.7174,100.6945
Min Buri,13.8141,100.7314
Khlong Sam Wa,13.8362,100.7352
Bang Khun Thian,13.663,100.4342
Thanyaburi,14.0211,100.7343
Lat Krabang,13.7234,100.7844
Thawi Watthana,13.7885,100.3333
Bang Yai,13.8764,100.4039
Bang Phli,13.6063,100.7058
Sam Khok,14.0655,100.5226
Bang Bo,13.5743,100.8353
Saraphi,18.7142,99.0353
Nong Chok,13.8559,100.8622
